Include,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
1,J,"Horvath, Eva; Solt, Szabolcs; Kotyman, Laszlo; Palatitz, Peter; Piross, Imre Sandor; Fehervari, Peter",,,,,"Palatitz, Peter/0000-0002-7472-1308; Piross, Imre Sandor/0000-0003-1201-5085",,,,,Provisioning nest material for Rooks; a potential tool for conservation management.,,,,,,,,Ornis Hungarica,,,,23,1,,,22,31,,,,,,,,,,,Article,2015,2015,"Active conservation measures often entail supplementing scarce resources, such as food or nesting site to high conservation value species. We hypothesized that adequate nest material in reasonable distance is a scarce resource for Rooks breeding in open grassland habitats of Hungary. Here we show that Rooks willingly utilize large quantities of provided excess nesting material, and that this procedure may alter nest composition, and increase the number of successful pairs. Our results show that while nest height remains constant, twig diameter is significantly larger, the number of twigs used per nest is presumably smaller, and that the ratio of nests with fledglings is higher in a rookery where supplementary twigs were present. Providing twigs and branches in the vicinity of rookeries may serve as an active conservation measure to increase the number of nests in a rookery, and thus the potential number of nesting possibilities for Red-footed Falcons.",,,,,,,,,3,0,0,0,3,0,3,,,1215-1610,,,,,,,,,,,"Hungarian Nat Hist Museum, Dept Zool, Baross Utca 13, Budapest, H-1088, Hungary",,,,29/10/2015,ZOOREC:ZOOR15111075640,
1,J,"Vorobiev, G.P.",,,,,,,,,,Nesting of hooded crows Corvus cornix at high chimney of heating plant in Voronezh.,,,,,,,,Russkii Ornitologicheskii Zhurnal Ekspress Vypusk,,,,24,1126,,,1179,1179,,,,,,,,,,,Article,2015,2015,,,,,,,,,,0,0,0,0,0,0,0,,,0869-4362,,,,,,,,,,,,,,,01/01/2015,ZOOREC:ZOOR15602013608,
0,J,"Ringhofer, Monamie; Hasegawa, Toshikazu",,,,,,,,,,Social cues are preferred over resource cues for breeding-site selection in Barn Swallows.,,,,,,,,Journal of Ornithology,,,,155,2,,,531,538,,,,,,,,,,,Article,Apr-14,2014,"To maximize fitness, animals choose habitats by using a combination of direct resource cues, such as the quality and quantity of safe breeding sites or food resources, and indirect social cues, such as the presence or breeding performance of conspecifics. Many reports show that nest predation leads to reduced fitness. However, it remains unclear how birds assess predation risk and how it affects breeding-site selection. In this study, we analyzed the relationship between predation risk and breeding-site selection in Barn Swallows (Hirundo rustica). We assessed the cues that swallows use in their selection. We used nest-site characteristics related to predation and foraging sites as direct resource cues, number of breeding pairs, and breeding success in the previous year as indirect social cues, and number of old and undamaged old nests as direct resource and/or indirect social cues. Breeding-site preference was assessed using the arrival date of males. We showed that only the number of undamaged old nests was used for breeding-site selection. When comparing effects at two spatial scales, nest-site and home-range, the effect of the number of undamaged old nests occurred at the home-range scale only, suggesting that these nests are used as an indirect social cue rather than a direct resource cue to reduce the energy or time-consuming costs of nest building. We suggest that undamaged old nests may indicate the presence and breeding performance of conspecifics for several previous years. Because Barn Swallows are migratory birds, undamaged old nests may be a reliable indirect social cue and may reduce the time required to sample information at breeding sites.",,,,,,,,,8,1,0,0,8,0,10,,,0021-8375,,,,,,,,,,,"Univ Tokyo, Dept Life Sci, 3-8-1 Komaba, Tokyo, 1538902, Japan",,,,30/10/2014,ZOOREC:ZOOR15011062835,
1,J,"Dutta, Saikat Kumar; Raut, Srimanta Kumar",,,,,,,,,,Nesting Site of House Crow: Tree Versus Light-Post-An Impact Assessment.,,,,,,,,Proceedings of the Zoological Society (Calcutta),,,,66,2,,,141,148,,,,,,,,,,,Article,Dec-13,2013,"Surveys on the nesting sites of the crows Corvus splendens were conducted along different road-side trees and light-posts in different localities of greater Kolkata, India during the breeding seasons in 2009-2012. It is revealed that C. splendens prefer light-posts as nesting sites to trees under certain environmental conditions like availability of foods, assurance of nest, nest building materials and eggs and/or young. As there exists, in most cases only one spot for nesting in a light-post and the said spot is usually located at a height ranging from 5.5 to 6.0 m from the ground contrast to an average 11.9 m height of the tree nest. The height of the nest determines the time and energy to be required either for the collection of foods, or to return to the nest within a short time as and when needed in respect to the evolved circumstances. It is apparent that the crows did not care to face the unusual danger to ensure their survival by developing this sort of nesting habit. Thus, it seems that the crows have developed the strategy of nesting in the light-post by the road side or on the road only to maximize their benefit in respect to their survival and propagation.",,,,,,,,,4,0,0,0,4,0,6,,,0373-5893; 0974-6919,,,,,,,,,,,"Univ Calcutta, Dept Zool, Kolkata, 700019, India",,,,07/11/2013,ZOOREC:ZOOR14911060463,
1,J,"Dixon, Andrew; Purev-Ochir, Gankhuyag; Galtbalt, Batbayar; Batbayar, Nyambayar",,,,"Batbayar, Nyambayar/N-3761-2019; Batbayar, Nyambayar/N-7066-2015","Batbayar, Nyambayar/0000-0002-9138-9626; Batbayar, Nyambayar/0000-0002-9138-9626",,,,,THE USE OF POWER LINES BY BREEDING RAPTORS AND CORVIDS IN MONGOLIA: NEST-SITE CHARACTERISTICS AND MANAGEMENT USING ARTIFICIAL NESTS.,,,,,,,,Journal of Raptor Research,,,,47,3,,,282,291,,,,,,,,,,,Article,Sep-13,2013,"The use of power line support structures as nesting sites enables some raptors and corvids to increase their breeding range and/or density in landscapes where alternative nest sites are limited. We report on the use of power poles for nesting by two nest-building species, Common Raven (Corvus corax) and Upland Buzzard (Buteo hemilasius), and two falcon species, Saker Falcon (Falco cherrug) and Eurasian Kestrel (Falco tinnunculus) in the nest-site-limited steppes of central Mongolia. Various power pole designs differed in their attractiveness to nest-building species, with structures that provided stable support and shelter being significantly favored. Trials of artificial nest barrels to (i) provide alternative nest sites on favored nesting support structures and (ii) provide additional nest sites on unfavored support structures, failed to induce nest-building species to shift their nest location in the first instance or to increase overall breeding density of large raptors and corvids in the second case. However, both trials resulted in large increases in the number of nesting Eurasian Kestrels.",,,,,,,,,9,2,0,0,8,0,10,,,0892-1016,,,,,,,,,,,"Int Wildlife Consultants Ltd, POB 19, Carmarthen, Dyfed, SA33 5YL, United Kingdom",,,,19/12/2013,ZOOREC:ZOOR15001000508,
1,J,"Berndt, Rolf K.",,,,,,,,,,Observations of brooding Carrion Crows Corvus corone in Kiel - helper birds or polygamy?,,,,Beobachtungen an brutenden Rabenkrahen Corvus corone in Kiel - Helfervogel oder Polygamie?,,,,Ornithologische Mitteilungen,,,,65,05-Jun,,,157,159,,,,,,,,,,,Article,2013,2013,"For a period of seven years, from 2007 to 2013, three birds remained together in a Carrion Crow colony in Kiel. They always worked collectively and built two nests every year. I was however unable to establish whether brooding and feeding took place in both nests, so that there was no evidence of polygamy. There was however always a helper present in the colony.",,,,,,,,,0,0,0,0,0,0,0,,,0030-5723,,,,,,,,,,,"Helsinkistr 68, Kiel, D-24109, Germany",,,,18/12/2014,ZOOREC:ZOOR15101000542,
1,J,"McIvor, Guillam E.; Rowe, Candy; Healy, Susan D.",,,,"McIvor, Guillam E./H-6602-2019","McIvor, Guillam E./0000-0003-3922-7651",,,,,Deterring Hooded Crows from Re-Nesting on Power Poles.,,,,,,,,Wildlife Society Bulletin,,,,36,4,,,729,734,,,,,,,,,,,Article,Dec-12,2012,"Hooded crows (Corvus cornix) nest on power poles throughout the north of Scotland, and the interruptions to electricity supply caused by the nests cost the electricity provider in excess of (UK) [pound sterling]250,000 annually. In the Orkney Isles, where pole nesting is relatively common, most nests are actively removed before they can cause a fault. However, rebuilding often occurs. Although the electrical company routinely fits Firefly FF-type diverters (P&R Tech Inc., Beaverton, OR, USA) after nest removals to deter the crows from rebuilding, there has been no field test of the effectiveness of the Fireflies as a deterrent. In our study, carried out in Orkney in the Spring/Summer of 2009 and 2010, Fireflies were fitted at half of the sites from which nests were removed and not fitted at the other half of the sites. We found that crows were equally likely to rebuild at sites fitted with Fireflies as they were to rebuild at sites without Fireflies. However, rebuilding was less likely to occur the later in the season that nests were removed, and nests in the middle phase of construction were the most likely to be rebuilt. Therefore, making an appropriate decision as to when to remove a crow nest seems to be a more effective method for deterring nest rebuilding than is the fitting of Firefly diverters. [copyright] 2012 The Wildlife Society.",,,,,,,,,5,0,0,0,5,0,5,,,0091-7648,,,,,,,,,,,"Univ Exeter, Ctr Ecol & Conservat, Cornwall Campus, Tremough, TR10 9EZ, United Kingdom",,,,01/12/2012,ZOOREC:ZOOR15110063971,
1,J,"Juhasz, Lajos; Koever, Laszlo; Gyuere, Peter",,,,,,,,,,Nesting biology of Debrecen's Hooded Crow (Corvus cornix L. 1758) population.,,,,A debreceni dolmanyos varju (Corvus cornix L. 1758) populacio feszkelesbiologiaja.,,,,Termeszetvedelmi Kozlemenyek,,,,18,,,,247,256,,,,,,,,,,,Article,2012,2012,"During the past decade Hooded Crow nesting population has performed a significant growth in Debrecen. Our knowledge about the habits of species living in urban environment, e.g. about their nesting biology is still incomplete. During 2006-2011 we found 156 active nests in Debrecen, build on 18 tree species. Hooded Crows living in the city builded their nests in higher regions (16.4 m, n=156), than those living in places outside the city. We could explain it with higher safety. When we compared the nesting height between different habitats we found no significant difference (Kruskal-Wallis teszt, H=3.559, df=3, p=0.313). In the case of Quercus robur a considerable number (71%, n=45) of crows built their nests in the roots of Loranthus europaeus that we could also explain with higher safety. The crows built new nest every year. According to our observation the pairs keep/defend their nesting area year by year but because the nest density has grown continuously (R2=0.9668) these could break up. The nest sizes: internal diameter: 23 cm (n=29), depth: 10 cm (n=23). The opportunistic character of Hooded Crow was also proved by the anthropogenic ingredients used for nest building.",,,,,,,,,0,0,0,0,0,0,0,,,1216-4585,,,,,,,,,,,"Univ Debrecen, Fac Agr & Food Sci & Environm, 138 Boszormenyi Str, Debrecen, H-4032, Hungary",,,,26/09/2013,ZOOREC:ZOOR14910045995,
1,J,"Polakowski, Michal; Broniszewska, Monika",,,,,,,,,,Cow hair as a nest building material for Jackdaws Corvus monedula - the case of pulling hair from a living animal.,,,,Krowia siersc jako material budulcowy gniazda kawki Corvus monedula - przypadek wyrywania wlosia z zywego zwierzecia.,,,,Ornis Polonica,,,,53,4,,,303,305,,,,,,,,,,,Article,2012,2012,"Cow hair as a nest building material for Jackdaws Corvus monedula - the case of pulling hair from a living animal. The flock of up to 10 Jackdaws Corvus monedula pulling hair from grazing cow was observed on 24.04.2012 around Strekowa Gora village near the Narew River (53[degree]12'N, 22[degree]33'E; Polnocnopodlaska Lowland). The collected material was carried to the buildings 150 m away and probably used as a nest lining. It could be assumed that synurbic Jackdaw populations will not search for and use such kind of material. However, the presence of free grazing cattle, still frequent in the rural landscape of the Polnocnopodlaska Lowland, as well as a relatively large Jackdaw population probably favour the occurrence of such a behaviour.",,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"Zachodnia 30A-8, Bialystok, PL-15345, Poland",,,,25/07/2013,ZOOREC:ZOOR14908032238,
1,J,"Dutta, S.K.; Raut, S.K.",,,,,,,,,,"Height of the nesting spots on house crows Corvus splendens in the nest-building tress in Kolkata, India.",,,,,,,,Environment and Ecology (Kalyani),,,,28,1,,,194,197,,,,,,,,,,,Article,Mar-10,2010,"The crows Corvus splendens selected the nesting sports in the trees locating along the road side of Kolkata city, at a height 3.5-23.0 m from the ground. It is revealed that, of the 908 nests, irrespective of tree-species 154 (16.96 %), 430 (47.36%), 272 (29.95%) and 52 (5.73%) of nests were constructed within the height range 3.50-8.5 m, 8.6-13.6 m, 13.7-18.7 m and 18.8 m and above from the ground, respectively. Of the 26 tree-species eight were suitable for construction of nests at the prospective nesting spots irrespective of the height range. On the contrary, in the remaining 18 tree species nests were localized to certain nest-building tires.",,,,,,,,,0,0,0,0,2,0,2,,,0970-0420,,,,,,,,,,,"Ecology & Ethology Laboratory, Department of Zoology, University of Calcutta, Kolkata 700019, India",,,,01/03/2010,ZOOREC:ZOOR14609062039,
1,J,"Powell, Abby n.; Backensto, Stacia",,,,,,,,,,Common ravens (Corvus corax) nesting on Alaska's North Slope oil fields.,,,,,,,,OCS Study Report MMS,,,,2009-007,,,,1,36,,,,,,,,,,,Article,Feb-09,2009,"Resident populations of common ravens (Corvus corax) on the North Slope of Alaska appear to be increasing where anthropogenic resources are available. This includes numbers of ravens at the North Slope Borough's Prudhoe Bay Landfill during winter, and breeding pairs dispersed throughout the oil fields and other human settlements. The oil fields provide abundant anthropogenic resources in terms of food sources and infrastructure for nesting. In this study, we documented nest locations, nest and nest site characteristics, movements of adult and juvenile ravens, and diet of ravens breeding in the North Slope oil fields of Kuparuk and Prudhoe Bay. In addition, we collected data on marked ravens throughout Alaska from the public. We located a total of 89 nests in the oil fields from 2004-2007. From 2004-2006 we monitored nests to determine nest success and productivity and collected data on nest site characteristics. We captured and radio-tagged adult ravens, and marked both adult and juveniles with leg bands and patagial wing tags to estimate home ranges during breeding and document movements. VHF and satellite transmitters failed due to a variety of reasons, therefore data derived from these sources were limited. Ravens placed their nests on oil field infrastructure; 46% were located on processing facilities, 35% on drill sites, and the remaining on other structures including bridges, radar towers, and inactive drill rigs. Nests were built from industrial materials, at an average height of 11 m. In general, nests at Prudhoe were closer to camps, rig activities during nest building, and the landfill than nests at Kuparuk. We found evidence of nest site fidelity; some sites were used in multiple years. Nests at Prudhoe were more productive than Kuparuk in two of the three years; the average number of fledglings produced per breeding pair was 2.0 [plus or minus] 0.4 at Kuparuk and 3.7 [plus or minus] 0.3 at Prudhoe. We found no relationship between nest success or initiation dates with nests placed on heated substrates. Breeding phenology was similar to ravens nesting in other regions of the world. In general, incubation of eggs was initiated from late March until early May. Most nestlings fledged in mid June, corresponding to the time when other tundra-nesting birds initiate their nests. Breeding adults maintained territories ranging on average from 5-10 km2 around nest sites until late in the nestling stage. After chicks fledged, the size of area used around the nest site increased to 4-19 km2 ; however, our estimates were highly variable and sample sizes were small. Adult ravens marked during the breeding season in the oil fields were observed mostly in or near the oil fields during winter, except one seen in Fairbanks. Similarly, ravens marked as juveniles were observed in and near the oil fields (>10 wks after fledging), but were also seen south of the Brooks Range, including Beaver, Fairbanks, and Anchorage. Of juveniles marked in 2004, 18% were seen again their first year, 21% the second year, and 15% the third year. In 2007, 24% of juveniles marked in 2006 were seen again. Numbers of ravens seen at the Prudhoe Bay landfill were lowest during June and July, corresponding to nestling and fledgling stages of breeding. Sub-adults were observed at the landfill more than adults during the breeding season. Raven pellets contained mostly small mammals (55 %) and avian remains (19%). Collared (Dicrostonyx groenlandicus) and brown lemmings (Lemmus trimucronatus) composed almost half of the small mammals identified in pellet. Alaska's North Slope oil fields provide structures for nesting and anthropogenic food sources that support a resident breeding population of ravens. More research is needed to assess projected population growth and impacts to specific local prey species. Management options for decreasing raven populations include eliminating access to landfills and other food sources, and removing nests.",,,,,,,,,2,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,01/02/2009,ZOOREC:ZOOR14512077393,
1,J,"Farrell, Lynne",,,,,,,,,,Rooks gathering nest material.,,,,,,,,British Birds,,,,101,2,,,96,96,,,,,,,,,,,Article,Feb-08,2008,,,,,,,,,,0,0,0,0,0,0,0,,,0007-0335,,,,,,,,,,,"41 High Street, Hemingford Grey, Cambridgeshire, PE28 9BJ, United Kingdom",,,,01/02/2008,ZOOREC:ZOOR14409053487,
1,J,"Mitchell, John",,,,,,,,,,Ravens stick-gathering at a potential nesting site within the Glasgow city boundaries.,,,,,,,,Glasgow Naturalist,,,,25,1,,,95,96,,,,,,,,,,,Article,2008,2008,,,,,,,,,,0,0,0,0,0,0,0,,,0373-241X,,,,,,,,,,,"22 Muirpark Way, Drymen by Glasgow, G63 0DX, United Kingdom",,,,01/01/2008,ZOOREC:ZOOR14410061567,
0,J,"Arnold, Kathryn E.; Owens, Ian P.F.; Goldizen, Anne W.",,,,"Owens, Ian PF/F-1392-2010; Arnold, Kathryn E/F-8683-2016; Goldizen, Anne/G-7366-2012","Arnold, Kathryn E/0000-0002-6485-6065; Goldizen, Anne/0000-0003-0101-4108; Owens, Ian/0000-0001-6080-3321",,,,,Division of labour within cooperatively breeding groups.,,,,,,,,Behaviour,,,,142,11-Dec,,,1577,1590,,,,10.1163/156853905774831927,,,,,,,Article; Meeting paper,November-December 2005,2005,"Within cooperative societies, group members share in caring for offspring. Although division of labour among group members has been relatively well studied in insects, less is known about vertebrates. Most studies of avian helping focus solely on the extent to which helpers provision the offspring, however, helpers can participate in everything from nest building to predator defence. Bad provisioners may, for example, not be as 'uncooperative' as they appear. if they are good defenders. Thus, the distribution of helping tasks between group members should have important implications for our interpretation of group dynamics. Here, we compare two distinct forms of helping behaviour in the cooperatively breeding noisy miner (Manorina melanocephala): chick provisioning and mobbing nest predators. We show that the way in which individual helpers invest in these two helping behaviours varies enormously across individuals and among social groups. Good provisioners often contributed relatively little to mobbing and vice versa. Indeed, (18%) of helpers only mobbed, 22% just provisioned, whereas 60% of helpers performed both forms of helping. Across nests, provisioning was significantly negatively correlated with mobbing effort. We suggest that small differences in the costs or benefits of different aspects of helping (due to differences in age, relatedness or social status) have a big impact on the division of labour within a group. Consequently, social groups can be made up from individuals who often specialise in one helping behaviour, and/or helpers who perform a number of behaviours to differing degrees. Division of labour within social groups will, therefore, have important consequences for the maintenance of cooperatively breeding in vertebrates.",,,,,,,,,84,0,0,0,77,0,89,,,0005-7959,,,,,,,,,,,"Division of Environmental and Evolutionary Biology, Institute of Biomedical and Life Sciences, University of Glasgow, Graham Kerr Building, Glasgow, G12 8QQ, United Kingdom",,,,01/11/2005,ZOOREC:ZOOR14205027071,
1,J,"Matsuo, Junichi",,,,,,,,,,The relation between nests in which jungle and carrion crows used wire hangers and the vegetation coverage in Osaka City and Sakai City.,,,,,,,,Strix,,,,23,,,,75,81,,,,,,,,,,,Article,2005,2005,"Jungle Crow Corvus macrorhynchos and Carrion Crow C. corone living in urban areas often use wire hangers as well as twigs in building their nests. Though it has been known that such use is commoner in big cities more than in satellite cities, there has been no quantitative analysis of the habit. So, I investigated the nesting materials in Central Osaka City and eastern Sakai City from February 2002 to March 2003. I studied the relation between the nests in which wire hangers were used and the proportion of vegetation cover and density of buildings in the surroundings of each nest. The results show that the number of nests with wire hangers and the percentage of the nest consisting of wire hangers were significantly greater in Osaka City than in Sakai City, but that the vegetation cover rate and buildings cover rate were significantly greater in Sakai City than in Osaka City. In Osaka City there was a significant negative rank correlation between the percentage of wire hangers and the vegetation cover rate and a significant positive rank correlation between the percentages of wire hangers and building cover rate, while in Sakai City there were no correlations. There was no significant difference between the two species. Multiple linear regression analysis showed that in Osaka City both crows tended to increase the percentages of wire hangers used in the nest in inverse proportion to the vegetation cover rate. But in Sakai City both crow species rarely used wire hangers even though the percentage of vegetation cover was less than 10% at which level crows in Osaka City mostly did use many wire hangers. It is unclear what causes this difference in hanger use and more research is needed.",,,,,,,,,1,0,0,0,0,0,1,,,0910-6901,,,,,,,,,,,"Osaka Bird Study Group, Chayamadai 2-3-17-209, Saka-shi, Osaka, Japan",,,,01/01/2005,ZOOREC:ZOOR14106038269,
1,J,"Kallander, Hans",,,,,,,,,,[Jackdaws breeding in the open and jackdaws with giant nests.],,,,Frihackande kajor och kajor med jattebon.,,,,Anser,,,,43,2,,,99,100,,,,,,,,,,,Article,2004,2004,,,,,,,,,,0,0,0,0,0,0,0,,,0347-9595,,,,,,,,,,,"Postvagen 2, 240 12 Torna Hallestad, Sweden",,,,01/01/2004,ZOOREC:ZOOR14012068473,
1,J,"Kurosawa, Reiko; Hoshi, Yukiko",,,,,,,,,,Reuse of nest materials by carrion crows Corvus corone and Jungle crows C. macrorhynchos.,,,,,,,,Journal of the Yamashina Institute for Ornithology,,,,35,1,,,61,64,,,,,,,,,,No 109,Article,30-Sep-03,2003,"We observed that two species of crows reused nest materials. Given the conventional knowledge that crows avoid breeding in their old nests, this behavior is both novel and surprising. Pairs removed materials from their completed nests and carried them to other sites, and there used the old materials in the construction of new nests. It is unknown whether any eggs were laid in the original nest or whether the nest was abandoned prematurely. One pair of Carrion Crows reused twigs, and two pairs of Jungle Crows reused wire-hangers and twigs for the outer shell of their nests. However, inner linings were newly obtained in all cases. These observations suggest that the reuse of nest materials by crows may be more common than was hitherto believed.",,,,,,,,,0,0,0,0,0,0,0,,,1348-5032,,,,,,,,,,,"Biodiversity Lab, Institute of Low Temperature Science, Hokkaido University, Kita-18, Nishi 8, Sapporo 060-0819, Japan",,,,30/09/2003,ZOOREC:ZOOR14011064958,
1,J,"Stardom, Richard A.",,,,,,,,,,Ravens pulling wool from sheep.,,,,,,,,Blue Jay,,,,57,3,,,160,161,,,,,,,,,,,Article,Sep-99,1999,,,,,,,,,,0,0,0,0,1,0,1,,,0006-5099,,,,,,,,,,,"Wildlife Branch, Box 24, 200 Saulteaux Crescent, Winnipeg MB R3J 3W3, Canada",,,,01/09/1999,ZOOREC:ZOOR13600037566,
1,J,"Griffin, Larry Roy",,,,,,,,,,Colonization patterns at rook Corvus frugilegus colonies: implications for survey strategies.,,,,,,,,Bird Study,,,,46,2,,,170,173,,,,10.1080/00063659909461128,,,,,,,Article,Jul-99,1999,"The increase in Rook Corvus frugilegus L. nest numbers at 18 colonies in County Durham, UK was monitored during the spring period of colony build-up. Nests were mapped to avoid miscounts and to track the stages of nest completion. Colonies were asynchronous in reaching maximum numbers, although all followed the same general pattern. Despite large variation in initial colony size on 1 April, a constant proportional increase up to the modal date of maximum counts on 21 April was recorded. The implications for survey strategy are discussed.",,,,,,,,,5,0,0,0,5,0,7,,,0006-3657,,,,,,,,,,,"Department of Biological Sciences, University of Durham, South Road, Durham DH1 3LE, United Kingdom",,,,01/07/1999,ZOOREC:ZOOR13600034955,
1,J,"Dubey, Philippe",,,,,,,,,,Nest building activity in November by a rook Corvus frugilegus.,,,,Un corbeau freux Corvus frugilegus prepare son nid en novembre.,,,,Nos Oiseaux,,,,46,2,,,113,114,,,,,,,,,,,Article,Juin 1999,1999,,,,,,,,,,0,0,0,0,0,0,0,,,0029-3725,,,,,,,,,,,"Eglise 6, CH - 2000 Neuchatel, Switzerland",,,,01/06/1999,ZOOREC:ZOOR13600022792,
1,J,"Dick, Hartmut",,,,,,,,,,Edge effect problem caused by generalist predators with the examples of carrion crow (Corvus corone corone Linnaeus 1758) and Wurzacher Ried (south Germany).,,,,Randeffekt - Problematik durch generalistische Beutegreifer am Beispiel von Rabenkrahe (Corvus corone corone Linnaeus 1758) und Wurzacher Ried (Suddeutschland).,,,,Oekologie der Voegel,,,,17,1,,,1,128,,,,,,,,,,,Article,Dez 1995,1995,,,,,,,,,,0,0,0,0,0,0,0,,,0173-0711,,,,,,,,,,,"Sailergasse 3, D-88410 Bad Wurzach, Germany",,,,01/12/1995,ZOOREC:ZOOR13500030139,
